Altium Designer Pick and Place Locations
D:\ODG-PROJECT\nRLC\AD_Projects\ODG_nRLC_Project\Pick Place for nRLC_Project.csv

========================================================================================================================
File Design Information:

Date:       11/03/22
Time:       15:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C4","47uF/6.3V","BottomLayer","CAP_POL_3216","865.000","435.000","180","Capacitor"
"C37","47uF/6.3V","BottomLayer","CAP_POL_3216","865.000","245.000","180","Capacitor"
"C20","1uF","TopLayer","C0603","965.000","490.000","180","Capacitor"
"C21","47uF/6.3V","BottomLayer","CAP_POL_3216","865.000","340.000","180","Capacitor"
"C38","10uF","TopLayer","C0603","1434.999","590.000","270","Capacitor"
"C39","1uF","TopLayer","C0603","1484.999","590.000","270","Capacitor"
"C40","10uF","TopLayer","C0603","1340.000","620.000","360","Capacitor"
"C41","1uF","TopLayer","C0603","1510.000","285.000","360","Capacitor"
"C42","10uF","TopLayer","C0603","1260.000","465.000","180","Capacitor"
"C43","1uF","BottomLayer","C0603","1890.000","240.000","180","Capacitor"
"C44","0.1uF","TopLayer","C0603","1555.000","695.000","270","Capacitor"
"C45","10uF","TopLayer","C0603","1145.000","655.000","270","Capacitor"
"C46","N/I","TopLayer","C0603","1060.000","720.000","360","Capacitor"
"C47","10uF","TopLayer","C0603","935.000","635.000","90","Capacitor"
"C48","1uF","BottomLayer","C0603","1065.001","655.000","360","Capacitor"
"C49","10uF","BottomLayer","C0603","1065.001","720.000","360","Capacitor"
"C50","N/I","BottomLayer","C0603","1110.000","405.000","270","Capacitor"
"C52","N/I","BottomLayer","C0603","1920.000","355.000","270","Capacitor"
"C53","10uF","TopLayer","C0603","1960.000","415.000","270","Capacitor"
"C54","10uF","TopLayer","C0603","2010.000","415.000","270","Capacitor"
"C55","10uF","BottomLayer","C0603","1175.000","655.000","180","Capacitor"
"C56","10uF","BottomLayer","C0603","1175.000","720.000","180","Capacitor"
"C57","10pF","TopLayer","C0603","1400.000","465.000","360","Capacitor"
"C58","10pF","TopLayer","C0603","1480.000","385.000","90","Capacitor"
"C59","10uF","TopLayer","C0603","2150.000","415.000","270","Capacitor"
"C60","0.1uF","BottomLayer","C0603","2135.000","240.000","360","Capacitor"
"C61","1uF","BottomLayer","C0603","1605.000","150.000","360","Capacitor"
"C62","0.1uF","BottomLayer","C0603","1215.000","565.000","180","Capacitor"
"C63","1uF","TopLayer","C0603","1580.000","490.000","270","Capacitor"
"C64","0.1uF","BottomLayer","C0603","1630.000","250.000","0","Capacitor"
"C65","1uF","TopLayer","C0603","1530.000","490.000","270","Capacitor"
"C66","10uF","BottomLayer","C0603","1630.000","200.000","360","Capacitor"
"C67","1uF","TopLayer","C0603","1225.000","155.000","90","Capacitor"
"C68","10uF","TopLayer","C0603","1255.000","75.000","360","Capacitor"
"C29","1uF","TopLayer","C0603","965.000","300.000","360","Capacitor"
"D1","SRV05-4MR6T1G","BottomLayer","MICROCHIP_SOT-23-6_M6","245.000","340.000","180","钳位IC"
"DA1","AD8605ARTZ","BottomLayer","ANALOG_SOT-23-5_RJ-5","600.000","680.000","180","精密、低噪声、CMOS、轨到轨输入/输出运算放大器"
"DA5","AD8605ARTZ","BottomLayer","ANALOG_SOT-23-5_RJ-5","625.000","150.000","180","精密、低噪声、CMOS、轨到轨输入/输出运算放大器"
"L1","10uH","BottomLayer","L0603","545.000","570.000","270",""
"L4","10uH","BottomLayer","L0603","405.000","340.000","90",""
"L5","10uH","BottomLayer","L0603","990.000","235.000","270",""
"L2","10uH","TopLayer","L0603","965.000","550.000","0",""
"L3","10uH","BottomLayer","L0603","880.000","170.000","360",""
"L6","10uH","TopLayer","L0603","1340.000","670.000","180",""
"L7","10uH","TopLayer","L0603","1195.000","685.000","270",""
"L8","10uH_0805","TopLayer","L0805","1285.000","350.000","270",""
"L9","10uH","BottomLayer","TAIYO_YUDEN_MAMK2520T1R0M","2080.000","510.000","180",""
"L10","10uH","TopLayer","L0603","1460.000","670.000","180",""
"L11","10uH","BottomLayer","L0603","1245.000","205.000","270",""
"LED1","LED","BottomLayer","LED_0603_1608","2185.000","625.000","270","LED"
"P3","DS1065-01-1X10S8BV","BottomLayer","1.27MM_FEMALE_X10","1935.000","50.000","180","1.27mm 母座 10pins"
"P4","DS1065-01-1X10S8BV","BottomLayer","1.27MM_FEMALE_X10","1935.000","750.000","180","1.27mm 母座 10pins"
"Q1","P-MOS","TopLayer","INFINEON_SOT-23-3","1900.000","180.000","180","P-MOS"
"Q2","N-MOS","TopLayer","INFINEON_SOT-23-3","1680.000","210.000","180","N-MOS"
"R27","100R/0.1%","TopLayer","R0603","560.000","105.000","90","Resistor"
"R30","10K/0.1%","TopLayer","R0603","560.000","215.000","270","Resistor"
"R13","1K","TopLayer","R0603","325.000","505.000","180","Resistor"
"R14","10R","TopLayer","R0603","215.000","505.000","0","Resistor"
"R20","10R","TopLayer","R0603","215.000","295.000","0","Resistor"
"R21","1K","TopLayer","R0603","325.000","295.000","180","Resistor"
"R22","1K","BottomLayer","R0603","710.000","320.000","90","Resistor"
"R33","100R","TopLayer","R0603","435.000","295.000","180","Resistor"
"R9","100R","TopLayer","R0603","435.000","505.000","180","Resistor"
"R23","100R","BottomLayer","R0603","550.000","65.000","180","Resistor"
"R2","1K","BottomLayer","R0603","735.000","605.000","180","Resistor"
"R26","1K","BottomLayer","R0603","820.000","120.000","180","Resistor"
"R5","100K","BottomLayer","R0603","845.000","605.000","360","Resistor"
"R7","10K","BottomLayer","R0603","955.000","605.000","180","Resistor"
"R16","1M","TopLayer","R0603","185.000","400.000","270","Resistor"
"R31","1M","TopLayer","R0603","515.000","325.000","270","Resistor"
"R10","22R","BottomLayer","R0603","415.000","490.000","360","Resistor"
"R25","22R","BottomLayer","R0603","455.000","340.000","90","Resistor"
"R6","100K","BottomLayer","R0603","810.000","685.000","90","Resistor"
"R3","5.1K","BottomLayer","R0603","985.000","685.000","270","Resistor"
"R17","2K","TopLayer","R0603","785.000","450.000","180","Resistor"
"R32","2K","TopLayer","R0603","815.000","215.000","90","Resistor"
"R19","1M","TopLayer","R0603","865.000","420.000","270","Resistor"
"R28","1M","TopLayer","R0603","865.000","165.000","90","Resistor"
"R18","2K","TopLayer","R0603","1195.000","350.000","360","Resistor"
"R24","2K","TopLayer","R0603","1145.000","75.000","360","Resistor"
"R4","10R","TopLayer","R0603","530.000","690.000","270","Resistor"
"R11","10R","TopLayer","R0603","880.000","685.000","270","Resistor"
"R1","15K","TopLayer","R0603","855.000","605.000","180","Resistor"
"R8","15K","TopLayer","R0603","735.000","550.000","180","Resistor"
"R12","30K","TopLayer","R0603","625.000","550.000","180","Resistor"
"R29","22R","TopLayer","R0603","1075.000","295.000","360","Resistor"
"R15","22R","TopLayer","R0603","1075.000","550.000","360","Resistor"
"R34","10K","TopLayer","R0603","1955.000","585.000","360","Resistor"
"R35","40.2K","TopLayer","R0603","1460.000","725.000","180","Resistor"
"R36","100K","TopLayer","R0603","1990.000","180.000","90","Resistor"
"R37","1K","BottomLayer","R0603","1985.000","550.000","90","Resistor"
"R38","100K","TopLayer","R0603","1605.000","695.000","90","Resistor"
"R39","10K","TopLayer","R0603","1955.000","685.000","360","Resistor"
"R40","10K","TopLayer","R0603","1955.000","635.000","360","Resistor"
"R41","100K","TopLayer","R0603","1700.000","120.000","360","Resistor"
"R42","N/I","BottomLayer","R0603","1015.000","510.000","90","Resistor"
"R44","100K","TopLayer","R0603","1660.000","300.000","360","Resistor"
"R45","N/I","TopLayer","R0603","1340.000","725.000","180","Resistor"
"R46","N/I","BottomLayer","R0603","1715.000","145.000","360","Resistor"
"R47","47K","TopLayer","R0603","1340.000","105.000","90","Resistor"
"R48","10K","TopLayer","R0603","1395.000","215.000","90","Resistor"
"R49","2M","BottomLayer","R0603","1970.000","355.000","90","Resistor"
"R50","200K","BottomLayer","R0603","2000.000","240.000","360","Resistor"
"RN1","RES-8P4R-100R","BottomLayer","RESNET_1206-8_CONCAVE","1120.000","170.000","360","贴片网络排阻"
"RN3","RES-8P4R_22R","BottomLayer","RESNET_1206-8_CONCAVE","1600.000","615.000","180","贴片网络排阻"
"RN4","RES-8P4R_100R","BottomLayer","RESNET_1206-8_CONCAVE","1475.000","140.000","90","贴片网络排阻"
"U3","SN74LVC1G3157DCKR","TopLayer","DIODES_SOT-363","645.000","196.102","0","5V、2:1 (SPDT)、单通道通用模拟开关
5-V, 2:1 (SPDT), 1-channel general-purpose analog switch"
"U4","SN74LVC1G3157DCKR","TopLayer","DIODES_SOT-363","645.000","91.102","0","5V、2:1 (SPDT)、单通道通用模拟开关
5-V, 2:1 (SPDT), 1-channel general-purpose analog switch"
"U5","MCP73831T","BottomLayer","MICROCHIP_SOT-23-5_OT","1875.000","550.000","360",""
"U11","TPS63000","BottomLayer","TI_PVSON-10_3X3MM_DRC","2080.000","375.000","270","Buck-Boost Converter
具有 1.8A 电流开关并采用 3x3 QFN 封装的高效率降压/升压转换器"
"U12","SN74AHC1G32DBVR","TopLayer","TI_SOT-23-5_DBV","1450.000","105.000","180","IC GATE OR"
"U6","MCP1700T-3302E/TT","TopLayer","MICROCHIP_SOT-23-3_NB","1260.000","565.000","90","低压差线性稳压芯片"
"U7","ADP150AUJZ-3.3-R7/LDK 120M33R/ LP5907MFX","TopLayer","ANALOG_TSOT-23-5_UJ-5","1040.000","635.000","180","超低噪声线性稳压芯片"
"U10","SPX3819M5(TPS76350DBVR)","BottomLayer","ANALOG_TSOT-23-5_UJ-5","1100.000","545.000","270","超低噪声线性稳压芯片"
"VD3","BAT54CW","TopLayer","DIODES_SOT-323-3","1791.840","210.000","270","贴片肖特基二极管"
"VD2","BAT54CW","TopLayer","DIODES_SOT-323-3","1585.000","110.000","270","贴片肖特基二极管"
"X1","XTAL-4P","TopLayer","EPSON_TSX-3225","1385.000","355.000","270","4脚无源晶振"
"U8","STM32F303CBT6","BottomLayer","ST_LQFP-48_7x7MM","1395.000","400.000","90","带DSP和FPU的主流混合信号ARM Cortex-M4 MCU，具有128 KB Flash、72 MHz CPU、MPU、CCM、5 MSPS 12位ADC、PGA和比较器"
"R43","10K","TopLayer","R0603","1810.000","120.000","180","Resistor"
"RN2","RES-8P4R_100R","BottomLayer","RESNET_1206-8_CONCAVE","1665.000","435.000","180","贴片网络排阻"
"DA4","INA826S","TopLayer","MSOP-8+PVSON-10","335.000","400.000","0","具有轨至轨输出和关断的 INA826S 精密 200μA 电源电流，3V 至 36V 电源
仪表放大器"
"DA6","INA826S","TopLayer","MSOP-8+PVSON-10","665.000","320.000","0","具有轨至轨输出和关断的 INA826S 精密 200μA 电源电流，3V 至 36V 电源
仪表放大器"
"*3","ODG_LOGO","BottomOverlay","ODG_LOGO","0.000","0.000","360",""
"*2","ODG_LOGO","TopOverlay","ODG_LOGO","0.000","0.000","360",""
"R53","47K","TopLayer","R0603","2035.000","1140.000","225","Resistor"
"R55","47K","TopLayer","R0603","1975.000","1035.000","90","Resistor"
"C69","0.1uF","BottomLayer","C0603","1750.000","1185.000","90","Capacitor"
"C70","0.1uF","BottomLayer","C0603","1650.000","1065.000","90","Capacitor"
"C71","1uF","BottomLayer","C0603","2010.000","1010.000","180","Capacitor"
"C72","10uF","BottomLayer","C0603","1750.000","1065.000","90","Capacitor"
"C73","1uF","TopLayer","C0603","1675.000","1480.000","225","Capacitor"
"D2","USBLC6-2","BottomLayer","MICROCHIP_SOT-23-6_M6","1840.000","1190.000","270","Very low capacitance ESD protection
Features
? 2 data-line protection
? Protects VBUS
? Very low capacitance: 3.5 pF max.
? Very low leakage current: 150 nA max.
? SOT-666 and SOT23-6L packages
? RoHS compliant"
"L12","10uH","TopLayer","L0603","1785.000","1005.000","180",""
"Q3","P-MOS","BottomLayer","INFINEON_SOT-23-3","1785.000","1350.000","360","P-MOS"
"Q4","N-MOS","BottomLayer","INFINEON_SOT-23-3","1665.000","1180.000","90","N-MOS"
"R51","100K","BottomLayer","R0603","1870.000","1350.000","270","Resistor"
"R52","100K","BottomLayer","R0603","1700.000","1350.000","90","Resistor"
"R54","100R","BottomLayer","R0603","1830.000","1010.000","180","Resistor"
"R57","5.1K","TopLayer","R0603","2135.000","1310.000","180","Resistor"
"R58","5.1K","TopLayer","R0603","2135.000","1240.000","180","Resistor"
"R59","47K","BottomLayer","R0603","1650.000","1350.000","90","Resistor"
"R60","10R","BottomLayer","R0603","1700.000","1065.000","270","Resistor"
"R61","1K","BottomLayer","R0603","1720.000","1265.000","180","Resistor"
"U14","BMI160","BottomLayer","BOSCH_LGA-14_2.5x3_-_large","1780.000","1485.000","90","IMU combining accelerometer and gyroscope.
Package dimensions
2.5x3.0x0.8mm3
The small, low power BMI160 is a low noise 16-bit IMU designed for mobile applications such as AR or indoor navigation, providing highly accurate sensor data and real-time sensor data. The low current consumption of BMI160 enables always-on applications in battery-driven devices. This sensor features a configurable on-chip interrupt engine which provides motion-based gesture recognition and context awareness as always-on background functions. The BMI160 is compatible with the Qeexo FingerSense application."
"R56","1.5K","TopLayer","R0603","1895.000","1005.000","180","Resistor"
"*","Lipo_Battery","BottomLayer","402030锂电池180MAH(28X20X4MM)","0.000","0.000","360",""
"LS1","Speaker","BottomLayer","压电陶瓷蜂鸣片12MM","1360.000","1219.322","135","Speaker"
"P5","ZL319-10P","BottomLayer","1.27MM_MALE_X10","1935.000","1625.000","180","1.27mm 排针 10pins"
"P6","ZL319-10P","BottomLayer","1.27MM_MALE_X10","1935.000","925.000","180","1.27mm 排针 10pins"
"SW1","KLS7-MT-08","TopLayer","KLS7-MT-08","1819.842","1275.000","45","KLS五向开关10*10*1.5mm
兼容松下EVQQ3KA15 TT5"
"U13","IPS-LCD-1.14inch","TopLayer","TFT_1.14IN_240X135_WRAPUNDER","1006.063","1275.000","360","IPS-LCD-1.14寸裸屏spi接口"
"USB1","Type-C","BottomLayer","TYPE-C-TOP-前插后贴","2045.906","1275.000","360",""
